epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0014,2.16388,1.96417,1.54311,0.30198,0.34526,0.27235,0.11037,1.94442,2.01784,1.462,0.0670737,0.000165459,0.000165459
2,75.9836,1.9961,1.63632,1.42999,0.4484,0.51202,0.47819,0.19744,1.96125,1.65502,1.47493,0.033907,0.000332105,0.000332105
3,113.007,1.98732,1.62809,1.45398,0.46458,0.4966,0.4605,0.20017,1.88045,1.61653,1.38689,0.000740216,0.00049867,0.00049867
4,146.973,1.95592,1.59975,1.42096,0.52503,0.54277,0.55528,0.2443,1.83656,1.50008,1.40759,0.000499725,0.000499725,0.000499725
5,185.293,1.88622,1.56147,1.41042,0.53517,0.50389,0.52334,0.22093,1.91865,1.56344,1.4504,0.000499512,0.000499512,0.000499512
6,218.472,1.89933,1.54956,1.39809,0.55369,0.48989,0.53087,0.24281,1.80882,1.53348,1.39487,0.000499237,0.000499237,0.000499237
7,251.949,1.90575,1.54219,1.40686,0.53601,0.6112,0.57827,0.24717,1.84825,1.44139,1.40849,0.000498902,0.000498902,0.000498902
8,286.56,1.85479,1.52596,1.37509,0.51088,0.51166,0.51532,0.23883,1.77525,1.59638,1.36316,0.000498505,0.000498505,0.000498505
9,319.82,1.84544,1.50232,1.37276,0.52049,0.60342,0.56769,0.23831,1.95283,1.50678,1.47146,0.000498048,0.000498048,0.000498048
10,353.573,1.85977,1.50866,1.36938,0.58673,0.56745,0.60295,0.2718,1.80285,1.42929,1.39115,0.000497531,0.000497531,0.000497531
11,388.362,1.81809,1.46641,1.36855,0.58429,0.57707,0.61541,0.2572,1.90323,1.40339,1.43777,0.000496953,0.000496953,0.000496953
12,422.591,1.83149,1.41909,1.34839,0.56457,0.56143,0.58186,0.26494,1.75842,1.46682,1.35627,0.000496315,0.000496315,0.000496315
13,456.005,1.80503,1.41676,1.32845,0.58969,0.52411,0.55428,0.25287,1.82208,1.46274,1.38592,0.000495616,0.000495616,0.000495616
14,489.437,1.79532,1.47841,1.33988,0.51917,0.57764,0.53538,0.2226,1.89323,1.55584,1.44542,0.000494858,0.000494858,0.000494858
15,523.438,1.83135,1.46518,1.35097,0.58652,0.52063,0.55487,0.24434,1.85338,1.51073,1.41176,0.000494039,0.000494039,0.000494039
16,556.704,1.79047,1.42184,1.34975,0.55767,0.58787,0.5737,0.2399,1.87785,1.42086,1.43542,0.000493162,0.000493162,0.000493162
17,590.505,1.82166,1.43523,1.35011,0.53102,0.52411,0.52897,0.22678,1.86826,1.49551,1.43947,0.000492224,0.000492224,0.000492224
18,624.133,1.7635,1.54307,1.31501,0.57163,0.5624,0.57794,0.26044,1.81024,1.4523,1.39016,0.000491228,0.000491228,0.000491228
19,657.085,1.7831,1.38642,1.33609,0.53943,0.62986,0.58475,0.26458,1.78778,1.45763,1.37476,0.000490173,0.000490173,0.000490173
20,691.074,1.77489,1.36799,1.32073,0.55126,0.60809,0.59685,0.26666,1.84662,1.39254,1.41663,0.000489059,0.000489059,0.000489059
21,724.016,1.75236,1.31212,1.31768,0.56494,0.61275,0.58827,0.24275,1.93067,1.41255,1.46219,0.000487886,0.000487886,0.000487886
22,756.9,1.74526,1.33363,1.31917,0.54524,0.62986,0.58977,0.26717,1.85832,1.40272,1.42898,0.000486656,0.000486656,0.000486656
23,790.641,1.72012,1.3152,1.31254,0.58683,0.60964,0.59389,0.25478,1.86414,1.42275,1.43609,0.000485368,0.000485368,0.000485368
24,823.664,1.74506,1.3406,1.32112,0.60812,0.58787,0.59612,0.25691,1.90536,1.42722,1.4498,0.000484022,0.000484022,0.000484022
25,857.149,1.74788,1.34231,1.32964,0.5517,0.56299,0.57714,0.23428,1.96986,1.43506,1.50188,0.00048262,0.00048262,0.00048262
26,890.906,1.73052,1.28742,1.31491,0.55122,0.53033,0.50799,0.22084,1.91121,1.51589,1.44338,0.00048116,0.00048116,0.00048116
27,924.08,1.74009,1.286,1.30183,0.53791,0.61191,0.57879,0.25584,1.84927,1.42515,1.41237,0.000479644,0.000479644,0.000479644
