epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.263,2.6548,3.71071,1.48175,0.02233,0.21261,0.02554,0.00933,2.45672,4.14341,1.43202,0.0675323,0.000327957,0.000327957
2,291.8,2.49919,2.9316,1.37029,0.24156,0.06427,0.03171,0.01034,2.43716,2.99612,1.33516,0.0344995,0.000628556,0.000628556
3,437.199,2.4602,2.8296,1.34921,0.22148,0.09242,0.02997,0.00971,2.40021,3.06218,1.34343,0.00143379,0.000896156,0.000896156
4,571.61,2.41821,2.72419,1.34367,0.05899,0.07108,0.03229,0.01127,2.37271,2.82131,1.32926,0.0008515,0.0008515,0.0008515
5,723.788,2.39868,2.71385,1.32743,0.12703,0.08947,0.04179,0.0137,2.34105,2.73827,1.35737,0.000802,0.000802,0.000802
6,866.418,2.38422,2.58065,1.31645,0.19608,0.07724,0.03611,0.0133,2.36348,2.81419,1.34864,0.0007525,0.0007525,0.0007525
7,1036.16,2.38239,2.53837,1.32927,0.09964,0.06615,0.03558,0.01204,2.32996,3.00053,1.34793,0.000703,0.000703,0.000703
8,1215.03,2.35664,2.54899,1.31021,0.25184,0.0662,0.04673,0.01608,2.32757,2.63161,1.33481,0.0006535,0.0006535,0.0006535
9,1405.4,2.34041,2.46605,1.29545,0.11829,0.08112,0.04536,0.0165,2.31016,2.52961,1.35235,0.000604,0.000604,0.000604
10,1598.25,2.32999,2.46589,1.30271,0.13017,0.06421,0.03919,0.01554,2.29433,2.58152,1.32584,0.0005545,0.0005545,0.0005545
11,1795.38,2.3282,2.42135,1.35876,0.13133,0.05775,0.03098,0.0118,2.34082,2.77477,1.35111,0.000505,0.000505,0.000505
12,1978.41,2.26824,2.38339,1.34649,0.11802,0.07766,0.03348,0.01221,2.3561,2.72953,1.32232,0.0004555,0.0004555,0.0004555
13,2125.43,2.29356,2.35677,1.33028,0.15199,0.08508,0.05077,0.0186,2.24301,2.5295,1.29407,0.000406,0.000406,0.000406
14,2376.89,2.26347,2.30055,1.32702,0.15957,0.07285,0.04079,0.01577,2.27801,2.47208,1.32745,0.0003565,0.0003565,0.0003565
15,2545.39,2.2464,2.27693,1.32684,0.1623,0.10659,0.05643,0.02078,2.27596,2.44337,1.33747,0.000307,0.000307,0.000307
16,2726.6,2.23848,2.23356,1.30888,0.16333,0.10298,0.05037,0.01933,2.29154,2.44448,1.35276,0.0002575,0.0002575,0.0002575
17,2954.45,2.24624,2.21372,1.32808,0.15338,0.10176,0.06572,0.02245,2.2944,2.42651,1.33211,0.000208,0.000208,0.000208
18,3081.68,2.22527,2.17519,1.33678,0.1837,0.11205,0.06679,0.02269,2.27779,2.43256,1.32198,0.0001585,0.0001585,0.0001585
19,3253.96,2.21754,2.14303,1.31523,0.18036,0.09377,0.06135,0.02167,2.2577,2.38469,1.31582,0.000109,0.000109,0.000109
20,3454.41,2.22071,2.13984,1.30604,0.14918,0.09858,0.05841,0.02002,2.301,2.41682,1.32401,5.95e-05,5.95e-05,5.95e-05
